"StartDate","EndDate","Progress","Duration (in seconds)","Finished","RecordedDate","LocationLatitude","LocationLongitude","UserLanguage","consent","fav_China","fav_France","fav_Korea","fav_UK","fav_US","fav_Russia","fav_UN","fav_WHO","interest","leader_sup","hawk_dove","priming_1","priming_2","priming_3","priming_4","DV1_G1","DV2_G1","DV3_G1","DV4_G1","DV5_G1","DV6_G1","DV7_G1","DV8_G1","DV9_G1","DV10_G1","DV11_G1","DV12_G1","DV1_G2","DV2_G2","DV3_G2","DV4_G2","DV5_G2","DV6_G2","DV7_G2","DV8_G2","DV9_G2","DV10_G2","DV11_G2","DV12_G2","DV1_G3","DV2_G3","DV3_G3","DV4_G3","DV5_G3","DV6_G3","DV7_G3","DV8_G3","DV9_G3","DV10_G3","DV11_G3","DV12_G3","DV1_G4","DV2_G4","DV3_G4","DV4_G4","DV5_G4","DV6_G4","DV7_G4","DV8_G4","DV9_G4","DV10_G4","DV11_G4","DV12_G4","DV1_G5","DV2_G5","DV3_G5","DV4_G5","DV5_G5","DV6_G5","DV7_G5","DV8_G5","DV9_G5","DV1_G6","DV2_G6","DV3_G6","DV4_G6","DV5_G6","DV6_G6","DV7_G6","DV8_G6","DV9_G6","knowledge","SDO1","SDO2","SDO3","SDO4","SDO5","SDO6","SDO7","SDO8","SDO9","SDO10","SDO11","SDO12","SDO13","SDO14","SDO15","SDO16","check1","check2","liberal","age","gender","education","free_writing"
2021-01-21 22:40:18,2021-01-21 22:42:08,100,109,TRUE,2021-01-21 22:42:08,36.13330078125,140.049987792969,"JA","Agree",0,83,0,100,65,1,55,1,"Some attention","Somewhat Approve","Hawk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Support","Do not have an impact","Neither","Yes, I think so","Yes, I think so","Neither","Neither","Neither","Among the top 6 to 15% of international society","Do not support","Do not have an impact","Among the top 16 to 29% of international society",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","5","4","3","3","4","3","5","4","4","3","4","4","2","4","5","4","SDF continuing troop deployment","US-led peacekeeping mission","5","1975","female","Graduated from a four-year college",NA
2021-01-21 22:39:06,2021-01-21 22:42:14,100,187,TRUE,2021-01-21 22:42:14,35.6849975585938,139.751403808594,"JA","Agree",15,68,0,82,73,9,15,13,"A lot of attention","Strongly Approve","Hawk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Support","Have an impact of increasing status","Yes, I think so","Yes, I think so","Yes, I think so","No, I do not think so","Neither","No, I do not think so","Among the top 5% of international society","Support","Have an impact of decreasing status","Among the top 5% of international society",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"There must have been a resolution","6","4","4","3","4","4","2","5","3","5","2","3","4","4","4","3","SDF Troops deployment to state B in the Middle East,SDF early withdrawal","UN-led peacekeeping mission","7","1975","male","Graduated from a four-year college",NA
2021-01-21 22:38:10,2021-01-21 22:42:17,100,247,TRUE,2021-01-21 22:42:17,35.6654052734375,139.697692871094,"JA","Agree",5,50,80,54,60,50,20,20,"Do not know","Do not know","Do not know","Do not know","Do not know","Do not know","わからない",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","Do not have an impact","Neither","Neither","Neither","Neither","Neither","Neither","Do not know","Do not know","Do not have an impact","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","None of the above","Neither","5","After 2000","female","Two-year college","特にない"
2021-01-21 22:36:14,2021-01-21 22:43:10,100,415,TRUE,2021-01-21 22:43:10,37.7503967285156,140.470886230469,"JA","Agree",20,50,10,50,50,21,50,42,"Some attention","Strongly Disapprove","Dove",NA,NA,NA,NA,"Do not know","Do not have an impact","No, I do not think so","Neither","No, I do not think so","Neither","Yes, I think so","Neither","Among the top 30 to 49% of international society","Do not know","Do not have an impact","Among the top 30 to 49% of international society",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","1","1","1","1","6","2","4","4","6","6","7","5","6","6","5","7","DF Troops deployment to state B in the Middle East","UN-led peacekeeping mission","3","1952","male","Graduated from a four-year college","特にない。"
2021-01-21 22:39:03,2021-01-21 22:43:12,100,249,TRUE,2021-01-21 22:43:12,35.7716064453125,139.735504150391,"JA","Agree",3,44,3,16,13,7,17,12,"Some attention","Somewhat Approve","Hawk","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","低くなる",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Support","Do not have an impact","Yes, I think so","Yes, I think so","Yes, I think so","No, I do not think so","No, I do not think so","Yes, I think so","Among the top 6 to 15% of international society","Support","Do not have an impact","Among the top 6 to 15% of international society",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"There must not have been a resolution","6","5","4","6","5","5","4","5","6","5","5","4","6","5","5","5","None of the above","Neither","3","1962","male","Two-year college",NA
2021-01-21 22:37:55,2021-01-21 22:43:20,100,325,TRUE,2021-01-21 22:43:20,35.11669921875,137,"JA","Agree",9,75,11,74,80,9,50,74,"A lot of attention","Somewhat Disapprove","Hawk","Strongly Agree","Somewhat Disagree","Somewhat Disagree","技術立国の復活は必ずや他国を屈服させる地位を盛り返すだろうという期待",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Support","Have an impact of increasing status","Yes, I think so","Yes, I think so","Yes, I think so","Yes, I think so","Yes, I think so","Yes, I think so","Among the top 30 to 49% of international society","Support","Have an impact of increasing status","Among the top 16 to 29% of international society",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"There must have been a resolution","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","DF Troops deployment to state B in the Middle East","UN-led peacekeeping mission","7","1958","male","Graduated from a graduate school","一体誰が知りたいんだろう"
2021-01-21 22:40:47,2021-01-21 22:43:21,100,154,TRUE,2021-01-21 22:43:21,35.7752075195312,139.874298095703,"JA","Agree",4,10,4,11,23,10,23,24,"Some attention","Strongly Disapprove","Do not know","Do not know","Somewhat Disagree","Somewhat Disagree","変わらない",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Support","Do not have an impact","Yes, I think so","Yes, I think so","Neither","Neither","Neither","Neither","Do not know","Do not want to answer","Do not have an impact","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","4","3","5","5","4","3","5","4","5","4","5","4","3","3","4","5","SDF continuing troop deployment","UN-led peacekeeping mission","5","1977","male","Two-year college",NA
2021-01-21 22:41:06,2021-01-21 22:43:26,100,139,TRUE,2021-01-21 22:43:26,36.3854064941406,138.201507568359,"JA","Agree",3,38,52,74,49,54,61,63,"No attention","Strongly Disapprove","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","Do not have an impact","Neither","Neither","Neither","Neither","Neither","Neither","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","4","4","4","5","4","4","5","4","4","4","4","5","5","4","4","4","None of the above","Neither","Do not want to answer","1975","female","Graduated from a four-year college",NA
2021-01-21 22:37:02,2021-01-21 22:43:33,100,390,TRUE,2021-01-21 22:43:34,38.6053924560547,140.945098876953,"JA","Agree",20,21,21,20,53,20,19,19,"Some attention","Strongly Disapprove","Do not know",NA,NA,NA,NA,"Support","Have an impact of decreasing status","Neither","Neither","Neither","Neither","Neither","Neither","Among the top 16 to 29% of international society","Do not support","Do not have an impact","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","4","4","3","5","5","4","4","4","4","4","4","4","4","4","4","4","SDF early withdrawal","Neither","5","1964","male","High school","nashi"
2021-01-21 22:41:25,2021-01-21 22:43:48,100,143,TRUE,2021-01-21 22:43:49,35.714599609375,139.592498779297,"JA","Agree",7,32,9,17,29,14,18,31,"Limited attention","Strongly Disapprove","Do not know",NA,NA,NA,NA,"Do not support","Do not have an impact","Neither","Neither","Neither","Neither","Neither","Neither","Below 50% of international society","Do not support","Do not have an impact","Among the top 30 to 49% of international society",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","4","3","4","4","3","4","4","4","4","4","4","4","4","4","4","4","None of the above","Neither","5","1970","male","Two-year college","特にありません"
2021-01-21 22:39:04,2021-01-21 22:43:59,100,295,TRUE,2021-01-21 22:44:00,35.6900024414062,139.690002441406,"JA","Agree",15,36,14,31,32,36,36,51,"Some attention","Somewhat Disapprove","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Support","Have an impact of increasing status","Yes, I think so","Yes, I think so","Yes, I think so","Yes, I think so","Yes, I think so","Yes, I think so","Among the top 6 to 15% of international society","Do not support","Do not have an impact","Among the top 6 to 15% of international society",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"There must have been a resolution","4","4","3","4","6","5","6","5","5","5","6","5","6","6","5","5","SDF Troops deployment to state B in the Middle East,SDF Troops deployment to state C in Asia,SDF continuing troop deployment","UN-led peacekeeping mission","5","1963","male","Graduated from a four-year college","自衛隊を作った意味が無い。だったら除隊すれば良い。税金で給料が出ている以上。"
2021-01-21 22:40:01,2021-01-21 22:44:02,100,241,TRUE,2021-01-21 22:44:02,31.5597991943359,130.544494628906,"JA","Agree",15,31,55,22,47,12,14,26,"Do not know","Do not know","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","Have an impact of increasing status","Neither","Neither","Neither","Neither","Neither","Neither","Do not know","Do not know","Do not have an impact","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","4","4","4","5","4","5","5","5","4","4","5","4","5","4","4","3","None of the above","Neither","5","1967","female","Two-year college","特になし"
2021-01-21 22:39:13,2021-01-21 22:44:17,100,303,TRUE,2021-01-21 22:44:17,35.1790008544922,136.893890380859,"JA","Agree",0,10,0,22,15,0,0,1,"Some attention","Strongly Approve","Do not know","Do not know","Do not know","Do not know","低くなる
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Support","Do not have an impact","Yes, I think so","No, I do not think so","Neither","Neither","Neither","Neither","Below 50% of international society","Support","Do not have an impact","Below 50% of international society",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","5","5","5","5","5","5","5","5","5","5","5","5","5","5","6","5","SDF continuing troop deployment","Neither","5","1976","male","Two-year college","なし"
2021-01-21 22:41:47,2021-01-21 22:44:20,100,152,TRUE,2021-01-21 22:44:20,34.8067932128906,135.344085693359,"JA","Agree",61,61,62,62,59,59,52,62,"A lot of attention","Somewhat Approve","Hawk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Support","Have an impact of increasing status","Yes, I think so","Yes, I think so","Neither","Neither","Yes, I think so","Yes, I think so","Among the top 16 to 29% of international society","Support","Do not have an impact","Among the top 16 to 29% of international society",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","3","3","3","3","2","2","2","2","4","4","4","4","5","5","3","3","DF Troops deployment to state B in the Middle East","UN-led peacekeeping mission","5","1980","female","Graduated from a four-year college",NA
2021-01-21 22:41:17,2021-01-21 22:44:28,100,190,TRUE,2021-01-21 22:44:28,35.6912994384766,139.885986328125,"JA","Agree",45,50,25,45,45,40,35,35,"Do not know","Do not know","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","Do not have an impact","Neither","Neither","Neither","Neither","Neither","Neither","Do not know","Do not know","Do not have an impact","Do not know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","4","4","2","5","4","4","4","4","4","1","4","3","3","1","3","4","None of the above","Neither","5","1998","female","Two-year college","特にない"
2021-01-21 22:37:33,2021-01-21 22:44:52,100,439,TRUE,2021-01-21 22:44:52,34.9967956542969,135.865509033203,"JA","Agree",20,60,50,60,85,41,51,52,"Limited attention","Do not know","Dove","Somewhat Disagree","Somewhat Disagree","Do not know","わからない",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Support","Do not have an impact","Yes, I think so","Neither","Neither","Yes, I think so","Yes, I think so","Neither","Do not know","Do not know","2","4","4","5","5","3","2","3","6","6","6","4","6","4","4","6","DF Troops deployment to state B in the Middle East","Neither","5","1978","female","Graduated from a four-year college","少しわかりにくい質問があった。"
2021-01-21 22:44:25,2021-01-21 22:44:57,100,32,TRUE,2021-01-21 22:44:57,35.1790008544922,136.893890380859,"JA","Do not agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-21 22:42:24,2021-01-21 22:45:00,100,155,TRUE,2021-01-21 22:45:00,34.6670989990234,135.606109619141,"JA","Agree",29,53,92,52,53,54,53,51,"Do not know","Do not know","Do not know","Do not know","Do not know","Do not know","わからない",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know","Do not have an impact","Neither","Neither","Neither","Neither","Neither","Neither","Do not know","Do not know","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","None of the above","Neither","5","1969","female","Two-year college",NA
